il,ilce,istasyon,istNo,veriZamani_UTC,hadise,sicaklik_C,hissedilenSicaklik_C,nem_%,ruzgarYonu_derece,ruzgarHiz_kmh,aktuelBasinc_hPa,denizeIndirgenmisBasinc_hPa,gorus_m,kapalilik_okta,yagis10dk_mm,yagis00danSuana_mm,yagis1saat_mm,yagis6saat_mm,yagis12saat_mm,yagis24saat_mm,karYukseklik_cm,denizSicaklik_C,yasTermometreSicakligi_C,calismaZamani_UTC
Adana,Yüreğir,ADANA BÖLGE,17351,2026-08-17T18:24:00.000Z,Açık,27.8,30.5,70,142,6.48,1005.2,1007.8,33200,,0,0,0,0,0,0,,,23.55,2026-08-17T18:44:17+00:00
Adana,Seyhan,ADANA ŞAKİRPAŞA HAVALİMANI,17352,2026-08-17T18:10:00.000Z,Çok Bulutlu,27.5,30.5,74,158,5.4,1006.2,1008.1,10000,5,0,6.2,0,0,6.2,6.2,,,23.86,2026-08-17T18:44:17+00:00
Adana,Ceyhan,CEYHAN TİGEM,17649,2026-08-17T18:24:00.000Z,Açık,26.6,29.7,81,179,9.72,1004,1008.1,,,0,0.4,0,0,0.4,0.4,,,24.01,2026-08-17T18:44:17+00:00
Adana,Kozan,KOZAN,17908,2026-08-17T18:24:00.000Z,Açık,26.6,27.8,59,18,3.9600000000000004,995.4,1007.9,,,0,0,0,0,0,0,,,20.79,2026-08-17T18:44:17+00:00
Adana,Pozantı,POZANTI,17934,2026-08-17T18:23:00.000Z,Çok Bulutlu,18.7,18.7,69,316,3.24,892.2,1008.7,,,0,2.4,0,2.4,2.4,2.4,,,14.95,2026-08-17T18:44:17+00:00
Adana,Karaisalı,KARAİSALI,17936,2026-08-17T18:24:00.000Z,Çok Bulutlu,25.5,26.8,63,1,7.2,981.4,1008.1,,,0,0,0,0,0,0,,,20.39,2026-08-17T18:44:17+00:00
Adana,Ceyhan,CEYHAN,17960,2026-08-17T18:24:00.000Z,Açık,25.2,27.3,79,0,0,1005.2,,,,0,2.4,0,0,2.4,2.4,,,22.38,2026-08-17T18:44:17+00:00
Adana,Yumurtalık,YUMURTALIK,17979,2026-08-17T18:21:00.000Z,Açık,27.5,30.4,73,244,5.04,1005,1008.8,,,0,0,0,0,0,0,,,23.71,2026-08-17T18:44:17+00:00
Adana,Karataş,KARATAŞ,17981,2026-08-17T18:24:00.000Z,-9999,28.1,30.3,64,190,13.32,1005.6,1008.1,,,0,0,0,0,0,0,,,22.91,2026-08-17T18:44:17+00:00
Adana,Tufanbeyli,TUFANBEYLİ,18053,2026-08-17T18:23:00.000Z,Çok Bulutlu,15.4,15.4,77,348,0.7200000000000001,857.6,1006.1,,,0,9.7,0.2,1.8,9.7,9.7,,,12.78,2026-08-17T18:44:17+00:00
Adana,Yüreğir,YÜREĞİR/ÇUKUROVA TARIM ARŞ. (TAGEM),18054,2026-08-17T18:24:00.000Z,Açık,24.3,24.3,88,115,3.9600000000000004,1008.6,1010,,,0,0,0,0,0,0,,,22.74,2026-08-17T18:44:17+00:00
Adana,İmamoğlu,İMAMOĞLU,18055,2026-08-17T18:24:00.000Z,Açık,26.1,28,71,355,9.360000000000001,997.9,1007.9,,,0,0,0,0,0,0,,,22.11,2026-08-17T18:44:17+00:00
Adana,Saimbeyli,SAİMBEYLİ,18056,2026-08-17T18:24:00.000Z,Az Bulutlu,20.4,20.4,64,133,5.4,894.1,1006.1,,,0,0,0,0,0,0.2,,,15.89,2026-08-17T18:44:17+00:00
Adana,Aladağ,ALADAĞ,18258,2026-08-17T18:24:00.000Z,Az Bulutlu,16.9,16.9,83,329,1.4400000000000002,,,,,0,0,0,0,0,0,,,14.9,2026-08-17T18:44:17+00:00
Adana,Çukurova,ÇUKUROVA,18268,2026-08-17T18:24:00.000Z,Açık,26.9,29.5,75,170,9.360000000000001,,,,,0,11.81,0,0,11.81,11.81,,,23.44,2026-08-17T18:44:17+00:00
Adana,Feke,FEKE,18269,2026-08-17T18:24:00.000Z,Açık,19.4,19.4,98,173,1.4400000000000002,,,,,0,0.77,0,0.77,0.77,0.77,,,19.16,2026-08-17T18:44:17+00:00
Adana,Sarıçam,SARIÇAM,18270,2026-08-17T18:24:00.000Z,Açık,26.5,29.6,82,159,12.96,,,,,0,0,0,0,0,0,,,24.05,2026-08-17T18:44:17+00:00
Adana,Tufanbeyli,TUFANBEYLİ/EVCİ KÖYÜ,18643,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,14.5,14.5,73,,,,,,,0,0,0,0,0,0,,,11.48,2026-08-17T18:44:17+00:00
Adana,Saimbeyli,SAİMBEYLİ/HALİLBEYLİ KÖYÜ,18644,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,15.4,15.4,69,,,,,,,0,0.18,0.18,0.18,0.18,0.18,,,11.88,2026-08-17T18:44:17+00:00
Adana,Sarıçam,SARIÇAM/YAĞIZLAR GÖLETİ,18859,2026-08-17T18:24:00.000Z,Açık,24.7,24.7,100,,,,,,,0,0,0,0,0,0,,,,2026-08-17T18:44:17+00:00
Adana,Sarıçam,SARIÇAM/HACI SABANCI OSB,18860,2026-08-17T18:24:00.000Z,Açık,25.1,28.5,96,119,3.9600000000000004,,,,,0,5.31,0,0,5.31,5.31,,,24.61,2026-08-17T18:44:17+00:00
Adana,Kozan,KOZAN/ACARYAYLA ORMAN SAHASI,18861,2026-08-17T18:24:00.000Z,Açık,19.7,19.7,98,241,1.8,,,,,0,3.66,0,3.66,3.66,3.66,,,19.46,2026-08-17T18:44:17+00:00
Adana,Pozantı,POZANTI/AKÇATEKİR,18862,2026-08-17T18:24:00.000Z,Çok Bulutlu,16.5,16.5,86,,,,,,,0,4.48,0,0.52,4.48,4.48,,,14.86,2026-08-17T18:44:17+00:00
Adana,Feke,FEKE/MANSURLU ORMAN SAHASI,18863,2026-08-17T18:24:00.000Z,Açık,14.8,14.8,92,349,4.680000000000001,,,,,0,0.29,0,0.29,0.29,0.29,,,13.87,2026-08-17T18:44:17+00:00
Adana,Karaisalı,KARAİSALI/SADIKALİ KÖYÜ(ÇATALAN BARAJI),19173,2026-08-17T18:24:00.000Z,Az Bulutlu,24.5,24.5,79,,,,,,,0,0,0,0,0,0,,,21.71,2026-08-17T18:44:17+00:00
Adana,Tufanbeyli,TUFANBEYLİ/GEZBELİ GEÇİDİ,19174,2026-08-17T18:19:00.000Z,HHY,11.5,11.5,,,,,,,,0,0.7,0.43,0.7,0.7,0.7,,,,2026-08-17T18:44:17+00:00
Adana,Karataş,KARATAŞ/KONAKLI KÖYÜ,19183,2026-08-17T18:24:00.000Z,Açık,27.8,32.7,85,,,,,,,0,0,0,0,0,0,,,25.74,2026-08-17T18:44:17+00:00
Adana,Seyhan,SEYHAN,19272,2026-08-17T18:23:00.000Z,Açık,25.9,29.8,94,156,7.2,,,20560,,0,0,0,0,0,0,,,25.13,2026-08-17T18:44:17+00:00
Adıyaman,Merkez,ADIYAMAN,17265,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,28,27.8,40,227,6.48,932.1,1004,20000,3,0,0,0,0,0,0,,,18.82,2026-08-17T18:44:17+00:00
Adıyaman,Merkez,ADIYAMAN HAVALİMANI,17266,2026-08-17T18:10:00.000Z,Açık,27.9,28.1,44,247,30.96,931.1,1009.3,3000,,0,0,0,0,0,0,,,19.46,2026-08-17T18:44:17+00:00
Adıyaman,Gölbaşı,GÖLBAŞI,17871,2026-08-17T18:24:00.000Z,Az Bulutlu,24.2,24.2,50,249,9.72,908.3,1003.8,39140,,0,0,0,0,0,0,,,17.31,2026-08-17T18:44:17+00:00
Adıyaman,Kahta,KAHTA,17910,2026-08-17T16:25:00.000Z,Açık,31,31,29,176,4.32,924.9,1002.3,43110,,,0,,0,0,0,,,18.89,2026-08-17T18:44:17+00:00
Adıyaman,Çelikhan,ÇELİKHAN,18180,2026-08-17T18:24:00.000Z,Az Bulutlu,21.9,21.9,60,215,4.32,857,999.6,,,0,0,0,0,0,0,,,16.72,2026-08-17T18:44:17+00:00
Adıyaman,Besni,BESNİ,18181,2026-08-17T18:24:00.000Z,Açık,23,23,52,252,27.720000000000002,887.4,1002.1,,,0,0,0,0,0,0,,,16.57,2026-08-17T18:44:17+00:00
Adıyaman,Gerger,GERGER,18182,2026-08-17T18:24:00.000Z,Açık,27.2,27.2,32,227,3.6,916.7,1003.7,,,0,0,0,0,0,0,,,16.66,2026-08-17T18:44:17+00:00
Adıyaman,Merkez,ADIYAMAN ÜNİVERSİTESİ,18341,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,27,27.2,44,235,18,928.5,1003.2,,,0,0,0,0,0,0,,,18.71,2026-08-17T18:44:17+00:00
Adıyaman,Samsat,SAMSAT,18345,2026-08-17T18:24:00.000Z,Açık,28.2,28.9,49,245,20.88,,,,,0,0,0,0,0,0,,,20.58,2026-08-17T18:44:17+00:00
Adıyaman,Sincik,SİNCİK,18346,2026-08-17T18:24:00.000Z,Açık,23.4,23.4,44,204,8.64,,,,,0,0,0,0,0,0,,,15.71,2026-08-17T18:44:17+00:00
Adıyaman,Tut,TUT,18347,2026-08-17T18:24:00.000Z,Az Bulutlu,24.7,24.7,48,275,20.52,,,,,0,0,0,0,0,0,,,17.43,2026-08-17T18:44:17+00:00
Adıyaman,Çelikhan,ÇELİKHAN/PINARBAŞI,18762,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,19.3,19.3,70,,,,,,,0,0,0,0,0,0,,,15.63,2026-08-17T18:44:17+00:00
Adıyaman,Çelikhan,ÇELİKHAN/ÇAT BARAJI,18949,2026-08-17T18:24:00.000Z,Açık,21.6,21.6,56,181,5.4,,,,,0,0,0,0,0,0,,,15.91,2026-08-17T18:44:17+00:00
Adıyaman,Besni,BESNİ/KIZILKAYA KÖYÜ,19078,2026-08-17T18:24:00.000Z,Açık,28.2,28.1,41,,,,,,,0,0,0,0,0,0,,,19.17,2026-08-17T18:44:17+00:00
Adıyaman,Çelikhan,ÇELİKHAN/YEŞİLTEPE KÖYÜ,19079,2026-08-17T18:24:00.000Z,Açık,24.8,24.8,52,,,,,,,0,0,0,0,0,0,,,18.13,2026-08-17T18:44:17+00:00
Adıyaman,Gölbaşı,GÖLBAŞI ORMAN SAHASI,19080,2026-08-17T18:24:00.000Z,Açık,22.8,22.8,60,255,12.6,,,,,0,0,0,0,0,0,,,17.53,2026-08-17T18:44:17+00:00
Adıyaman,Besni,BESNİ/SAMBAYAT,19257,2026-08-17T18:24:00.000Z,Açık,26.9,27.3,47,,,,,,,0,0,0,0,0,0,,,19.14,2026-08-17T18:44:17+00:00
Adıyaman,Kahta,KAHTA/NEMRUT DAĞI MİLLİ PARKI,19258,2026-08-17T17:00:00.000Z,Açık,21.7,21.7,53,,,,,,,,0,,0,0,0,,,15.58,2026-08-17T18:44:17+00:00
Afyonkarahisar,Merkez,AFYONKARAHİSAR HAVALİMANI,17189,2026-08-17T18:10:00.000Z,Az Bulutlu,20.2,20.2,50,360,5.04,899.9,1014.1,2100,,0,0,0,0,0,0,,,13.87,2026-08-17T18:44:17+00:00
Afyonkarahisar,Merkez,AFYONKARAHİSAR BÖLGE,17190,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,24.2,24.2,39,349,4.32,895.5,1005.8,20000,3,0,0.08,0,0,0,0.08,,,15.57,2026-08-17T18:44:17+00:00
Afyonkarahisar,Emirdağ,EMİRDAĞ,17752,2026-08-17T18:24:00.000Z,Açık,22.7,22.7,49,40,4.32,901.5,1006.7,68040,,0,0,0,0,0,0,,,15.87,2026-08-17T18:44:17+00:00
Afyonkarahisar,Bayat,BAYAT,17753,2026-08-17T18:24:00.000Z,Açık,20.8,20.8,54,175,8.28,890.1,1008,54920,,0,2.5,0,0,2.5,2.5,,,14.93,2026-08-17T18:44:17+00:00
Afyonkarahisar,Çobanlar,ÇOBANLAR,17791,2026-08-17T18:24:00.000Z,Az Bulutlu,21.8,21.8,45,25,6.84,899.7,1006.6,,,0,0,0,0,0,0,,,14.53,2026-08-17T18:44:17+00:00
Afyonkarahisar,Çay,ÇAY,17793,2026-08-17T18:25:00.000Z,Parçalı Bulutlu,20.4,20.4,58,192,15.120000000000001,,,,,0,0,0,0,0,0,,,15.11,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sultandağı,SULTANDAĞI/YAKASENEK,17823,2026-08-17T18:23:00.000Z,Az Bulutlu,21.8,21.8,47,206,4.680000000000001,,,,,0,0,0,0,0,0,,,14.82,2026-08-17T18:44:17+00:00
Afyonkarahisar,Şuhut,ŞUHUT,17829,2026-08-17T17:13:00.000Z,Açık,20,20,60,246,2.52,,,45800,,,0.2,,0,0.2,0.4,,,15.01,2026-08-17T18:44:17+00:00
Afyonkarahisar,Merkez,AFYONKARAHİSAR KOCATEPE ÜNİVERSİTESİ,17839,2026-08-17T18:25:00.000Z,Açık,23.2,23.2,39,34,11.879999999999999,897.6,1006,,,0,0,0,0,0,0,,,14.76,2026-08-17T18:44:17+00:00
Afyonkarahisar,Dinar,DİNAR,17862,2026-08-17T18:25:00.000Z,Az Bulutlu,21.7,21.7,62,165,2.52,913.4,1006.7,75000,,0,0,0,0,0,0,,,16.81,2026-08-17T18:44:17+00:00
Afyonkarahisar,Şuhut,ŞUHUT/KARAADİLLİ,17869,2026-08-17T18:24:00.000Z,Açık,18.4,18.4,72,0,0,890.9,1007.8,,,0,10.8,0,0,0,11.2,,,15.03,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sandıklı,SANDIKLI,18002,2026-08-17T18:23:00.000Z,Parçalı Bulutlu,18.9,18.9,74,179,4.32,895.7,1007.3,,,0,1,0,0.6,0.6,1.9,,,15.74,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sinanpaşa,SİNANPAŞA,18003,2026-08-17T18:23:00.000Z,Çok Bulutlu,21.6,21.6,44,17,11.879999999999999,882.8,1006.4,,,0,0.5,0,0,0,0.5,,,14.21,2026-08-17T18:44:17+00:00
Afyonkarahisar,İscehisar,İSCEHİSAR,18004,2026-08-17T18:24:00.000Z,Açık,20.1,20.1,45,3,6.48,886.5,1005.9,,,0,0,0,0,0,0,,,13.1,2026-08-17T18:44:17+00:00
Afyonkarahisar,İhsaniye,İHSANİYE,18005,2026-08-17T18:24:00.000Z,Açık,20.4,20.4,53,4,14.04,891.9,1006.7,,,0,0,0,0,0,0,,,14.45,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sultandağı,SULTANDAĞI,18006,2026-08-17T18:23:00.000Z,Az Bulutlu,22.3,22.3,45,247,12.24,894.8,1008.3,,,0,0,0,0,0,0,,,14.95,2026-08-17T18:44:17+00:00
Afyonkarahisar,Evciler,EVCİLER,18007,2026-08-17T18:24:00.000Z,Açık,21,21,58,290,6.48,910.2,1005.9,,,0,0.3,0,0.3,0.3,0.5,,,15.64,2026-08-17T18:44:17+00:00
Afyonkarahisar,Dazkırı,DAZKIRI,18037,2026-08-17T18:24:00.000Z,Açık,22.3,22.3,58,303,0.36000000000000004,910.3,1007.1,,,0,0,0,0,0,0.2,,,16.8,2026-08-17T18:44:17+00:00
Afyonkarahisar,Başmakçı,BAŞMAKÇI,18291,2026-08-17T18:24:00.000Z,Açık,19.9,19.9,72,63,4.680000000000001,,,,,0,0.1,0,0,0,0.3,,,16.44,2026-08-17T18:44:17+00:00
Afyonkarahisar,Hocalar,HOCALAR,18292,2026-08-17T18:24:00.000Z,Açık,21.8,21.8,52,324,20.52,,,,,0,0.88,0,0,0,2.92,,,15.53,2026-08-17T18:44:17+00:00
Afyonkarahisar,Kızılören,KIZILÖREN,18293,2026-08-17T18:23:00.000Z,Parçalı Bulutlu,21,21,48,,,,,,,0,0,0,0,0,0,,,14.28,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sultandağı,SULTANDAĞI/ÜÇKUYU MEVKİ,18630,2026-08-17T18:24:00.000Z,Açık,19.4,19.4,52,,,,,,,0,0,0,0,0,0,,,13.44,2026-08-17T18:44:17+00:00
Afyonkarahisar,Hocalar,HOCALAR/YEŞİLHİSAR BELDESİ,18631,2026-08-17T18:24:00.000Z,Az Bulutlu,20,20,56,,,,,,,0,0.99,0,0,0,2.54,,,14.49,2026-08-17T18:44:17+00:00
Afyonkarahisar,İscehisar,İSCEHİSER/ALANYURT BELDESİ,18747,2026-08-17T18:24:00.000Z,Açık,17.6,17.6,80,,,,,,,0,0,0,0,0,0,,,15.23,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sinanpaşa,SİNANPAŞA/ÇATKUYU KÖYÜ,18748,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,19.6,19.6,53,,,,,,,0,0,0,0,0,0,,,13.75,2026-08-17T18:44:17+00:00
Afyonkarahisar,Bolvadin,BOLVADİN/KEMERKAYA KÖYÜ,18749,2026-08-17T18:24:00.000Z,Açık,19.7,19.7,61,,,,,,,0,3.63,0,0,3.63,3.63,,,14.87,2026-08-17T18:44:17+00:00
Afyonkarahisar,Merkez,AFYONKARAHİSAR/KOCATEPE,18750,2026-08-17T18:24:00.000Z,Açık,19.3,19.3,61,,,,,,,0,0.08,0,0,0,0.46,,,14.51,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sinanpaşa,SİNANPAŞA/YILDIRIMKEMAL KÖYÜ,18751,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,20,20,52,,,,,,,0,0,0,0,0,0,,,13.97,2026-08-17T18:44:17+00:00
Afyonkarahisar,Merkez,AFYONKARAHİSAR/OLUCAK KÖYÜ,18757,2026-08-17T18:24:00.000Z,Az Bulutlu,18.9,18.9,57,,,,,,,0,0,0,0,0,0,,,13.65,2026-08-17T18:44:17+00:00
Afyonkarahisar,Bayat,BAYAT/KÖROĞLU BELİ,18761,2026-08-17T18:24:00.000Z,Açık,18.1,18.1,68,,,,,,,0,4.45,0,0,4.45,4.45,,,14.27,2026-08-17T18:44:17+00:00
Afyonkarahisar,Çay,ÇAY/DEVEDERESİ KÖYÜ,18850,2026-08-17T18:24:00.000Z,Açık,22,22,51,,,,,,,0,2.51,0,0,0.05,2.51,,,15.56,2026-08-17T18:44:17+00:00
Afyonkarahisar,Dinar,DİNAR/TATARLI BELDESİ,18851,2026-08-17T18:24:00.000Z,Az Bulutlu,19,19,59,51,2.52,,,,,0,8.91,0,0,0,10.18,,,13.99,2026-08-17T18:44:17+00:00
Afyonkarahisar,Dinar,DİNAR/HAYDARLI BELDESİ,18909,2026-08-17T18:25:00.000Z,Çok Bulutlu,20.3,20.3,61,178,4.680000000000001,874.6,1007.2,,,0,3.3,0,0,0,3.4,,,15.41,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sinanpaşa,SİNANPAŞA/TINAZTEPE BELDESİ,18912,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,19.4,19.4,62,125,5.4,885.2,1008.1,,,0,1.4,0,0,0.2,2.2,,,14.72,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sandıklı,SANDIKLI/HÜDAİ KAPLICALARI,18927,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,18.4,18.4,68,0,0,,,,,0,0.38,0,0.32,0.32,2.01,,,14.55,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sinanpaşa,SİNANPAŞA/TAŞOLUK BELDESİ,18928,2026-08-17T18:24:00.000Z,Az Bulutlu,19.7,19.7,58,0,0,,,,,0,0.99,0,0,0.92,1.53,,,14.48,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sandıklı,SANDIKLI/AKDAĞ TABİAT PARKI,18929,2026-08-17T18:24:00.000Z,Açık,13.7,13.7,96,179,4.680000000000001,,,,,0,0,0,0,0,9.56,,,13.22,2026-08-17T18:44:17+00:00
Afyonkarahisar,Şuhut,ŞUHUT/MAHMUT KÖYÜ,18930,2026-08-17T18:24:00.000Z,Açık,20.3,20.3,53,304,10.08,,,,,0,0.05,0,0,0,0.1,,,14.36,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sandıklı,SANDIKLI /BALLIK KÖYÜ,18947,2026-08-17T18:25:00.000Z,Parçalı Bulutlu,19.2,19.2,60,,,,,,,0,0.5,0,0,0,0.5,,,14.29,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sandıklı,SANDIKLI/ÇUKURCA KÖYÜ,19165,2026-08-17T18:24:00.000Z,Az Bulutlu,17.7,17.7,61,,,,,,,0,0.44,0,0,0,0.86,,,13.06,2026-08-17T18:44:17+00:00
Afyonkarahisar,Sinanpaşa,SİNANPAŞA/TAZLAR KÖYÜ,19166,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,20.5,20.5,55,,,,,,,0,0,0,0,0,0,,,14.8,2026-08-17T18:44:17+00:00
Ağrı,Merkez,AĞRI,17099,2026-08-17T18:24:00.000Z,Açık,21.2,21.2,33,276,1.08,833.7,1000.3,38370,,0,0,0,0,0,0,,,12.21,2026-08-17T18:44:17+00:00
Ağrı,Merkez,AĞRI AHMED-İ HANİ HAVALİMANI,17104,2026-08-17T18:10:00.000Z,Açık,19.6,19.6,35,188,15.120000000000001,833.8,1016.9,2100,,0,0,0,0,0,0,,,11.27,2026-08-17T18:44:17+00:00
Ağrı,Doğubayazıt,DOĞUBAYAZIT,17720,2026-08-17T18:23:00.000Z,Açık,21.6,21.6,24,237,12.24,834.2,1000.7,75000,,0,0.2,0,0,0,0.2,,,10.96,2026-08-17T18:44:17+00:00
Ağrı,Patnos,PATNOS,18193,2026-08-17T18:24:00.000Z,Açık,19.9,19.9,38,296,2.8800000000000003,835.3,1002.1,25170,,0,0,0,0,0,0,,,11.95,2026-08-17T18:44:17+00:00
Ağrı,Eleşkirt,ELEŞKİRT,18194,2026-08-17T18:24:00.000Z,Açık,19,19,38,258,9.360000000000001,816.6,1000.1,,,0,0,0,0,0,0,,,11.23,2026-08-17T18:44:17+00:00
Ağrı,Diyadin,DİYADİN,18356,2026-08-17T18:24:00.000Z,Açık,18.1,18.1,33,229,3.24,,,,,0,0,0,0,0,0,,,9.81,2026-08-17T18:44:17+00:00
Ağrı,Hamur,HAMUR,18357,2026-08-17T18:24:00.000Z,Açık,20,20,37,205,3.9600000000000004,,,,,0,0,0,0,0,0,,,11.88,2026-08-17T18:44:17+00:00
Ağrı,Taşlıçay,TAŞLIÇAY,18358,2026-08-17T18:24:00.000Z,Açık,20,20,34,257,12.96,,,,,0,0,0,0,0,0,,,11.44,2026-08-17T18:44:17+00:00
Ağrı,Tutak,TUTAK,18359,2026-08-17T18:24:00.000Z,Açık,18.7,18.7,43,308,0.36000000000000004,,,,,0,0,0,0,0,0,,,11.67,2026-08-17T18:44:17+00:00
Ağrı,Doğubayazıt,DOĞUBAYAZIT/SULUÇEM KÖYÜ,19065,2026-08-17T18:24:00.000Z,Açık,15.3,15.3,56,,,,,,,0,0,0,0,0,0,,,10.34,2026-08-17T18:44:17+00:00
Ağrı,Merkez,AĞRI/CUMAÇAY BELDESİ,19066,2026-08-17T18:24:00.000Z,Açık,17.2,17.2,42,,,,,,,0,0,0,0,0,0,,,10.3,2026-08-17T18:44:17+00:00
Ağrı,Merkez,AĞRI/ÇUKURALAN KÖYÜ,19249,2026-08-17T18:24:00.000Z,Açık,15.6,15.6,66,,,,,,,0,0.12,0,0,0.07,0.12,,,11.73,2026-08-17T18:44:17+00:00
Ağrı,Eleşkirt,ELEŞKİRT/YAYLADÜZÜ BELDESİ,19250,2026-08-17T18:24:00.000Z,Açık,14.7,14.7,49,,,,,,,0,0,0,0,0,0,,,9.03,2026-08-17T18:44:17+00:00
Amasya,Merzifon,AMASYA MERZİFON HAVALİMANI,17082,2026-08-17T18:10:00.000Z,Çok Bulutlu,20.6,20.6,60,13,16.2,949.3,1012.2,10000,6,0,0,0,0,0,0,,,15.55,2026-08-17T18:44:17+00:00
Amasya,Merzifon,MERZİFON,17083,2026-08-17T18:24:00.000Z,Çok Bulutlu,19.5,19.5,58,50,9,926.6,1009.3,,,0,0,0,0,0,0,,,14.31,2026-08-17T18:44:17+00:00
Amasya,Merkez,AMASYA,17085,2026-08-17T18:24:00.000Z,Parçalı Bulutlu,24.2,24.2,48,65,20.88,962.8,1008.2,20000,3,0,0,0,0,0,0,,,17.0,2026-08-17T18:44:17+00:00
Amasya,Merkez,AMASYA/GÖKHÖYÜK TİGEM,17655,2026-08-17T18:24:00.000Z,Çok Bulutlu,22.7,22.7,62,315,11.520000000000001,955.1,1007.6,,,0,0,0,0,0,0,,,17.71,2026-08-17T18:44:17+00:00
Amasya,Suluova,SULUOVA,18137,2026-08-17T18:24:00.000Z,Çok Bulutlu,21.5,21.5,67,54,7.5600000000000005,952.5,,,,0,0,0,0,0,0,,,17.29,2026-08-17T18:44:17+00:00
Amasya,Taşova,TAŞOVA,18138,2026-08-17T18:24:00.000Z,Çok Bulutlu,23,23,68,1,9.72,986.3,1014.5,,,0,0.1,0,0,0,0.5,,,18.8,2026-08-17T18:44:17+00:00
Amasya,Göynücek,GÖYNÜCEK,18504,2026-08-17T18:24:00.000Z,Çok Bulutlu,23.7,23.7,59,33,9.72,,,,,0,0,0,0,0,0,,,18.19,2026-08-17T18:44:17+00:00
Amasya,Gümüşhacıköy,GÜMÜŞHACIKÖY,18505,2026-08-17T18:24:00.000Z,Çok Bulutlu,18.3,18.3,66,334,3.24,,,,,0,0,0,0,0,0,,,14.21,2026-08-17T18:44:17+00:00
Amasya,Hamamözü,HAMAMÖZÜ,18506,2026-08-17T18:24:00.000Z,Çok Bulutlu,20.5,20.5,68,70,15.840000000000002,,,,,0,0,0,0,0,0,,,16.49,2026-08-17T18:44:17+00:00
Amasya,Merkez,AMASYA/BELDAĞI KÖYÜ,18699,2026-08-17T18:24:00.000Z,Çok Bulutlu,16,16,84,,,,,,,0,0.78,0,0,0,0.87,,,14.14,2026-08-17T18:44:17+00:00
Amasya,Taşova,TAŞOVA/BORABOY GÖLÜ,18938,2026-08-17T18:24:00.000Z,Çok Bulutlu,15.9,15.9,75,342,5.760000000000001,,,,,0,0.06,0,0,0,0.83,,,13.03,2026-08-17T18:44:17+00:00
Amasya,Merzifon,MERZİFON/ÇAYBAŞI KÖYÜ,19024,2026-08-17T18:24:00.000Z,Çok Bulutlu,19.5,19.5,71,,,,,,,0,0,0,0,0,0,,,15.94,2026-08-17T18:44:17+00:00
Amasya,Taşova,TAŞOVA/BORABOY ORMAN SAHASI,19025,2026-08-17T18:24:00.000Z,Çok Bulutlu,14.6,14.6,86,275,3.24,,,,,0,0.68,0,0.1,0.1,4.24,,,13.01,2026-08-17T18:44:17+00:00
Amasya,Merzifon,MERZİFON/TAVŞAN DAĞI,19026,2026-08-17T18:24:00.000Z,Az Bulutlu,10.6,10.6,96,,,,,,,0,0.87,0,0,0,1.09,,,10.13,2026-08-17T18:44:17+00:00
Amasya,Merkez,AMASYA/ORMANÖZÜ KÖYÜ,19218,2026-08-17T17:42:00.000Z,Çok Bulutlu,14.8,14.8,85,,,,,,,,0.65,0,0,0.38,0.81,,,13.09,2026-08-17T18:44:17+00:00
Amasya,Merkez,AMASYA ÜNİVERSİTESİ,19911,2026-08-17T18:23:00.000Z,Çok Bulutlu,23.7,23.7,57,37,14.4,,,,,0,0,0,0,0,0,,,17.91,2026-08-17T18:44:17+00:00
Ankara,Kahramankazan,ANKARA MÜRTED HAVALİMANI,17127,2026-08-17T18:10:00.000Z,Parçalı Bulutlu,21.3,21.3,54,360,15.120000000000001,917.3,1013.4,10000,3,0,0,0,0,0,0,,,15.37,2026-08-17T18:44:17+00:00
Ankara,Çubuk,ANKARA ESENBOĞA HAVALİMANI,17128,2026-08-17T18:10:00.000Z,Az Bulutlu,20.4,20.4,57,22,8.28,905.1,1013.9,10000,2,0,0,0,0,0,0,,,14.98,2026-08-17T18:44:17+00:00
